time,aircraft_in_box,aircraft_below_limit,credits_remaining
2026-09-11 13:53:21,0,0,3999
2026-09-11 13:53:42,0,0,3998
2026-09-11 13:54:02,0,0,3997
2026-09-11 14:07:27,0,0,3996
2026-09-11 14:07:47,0,0,3995
2026-09-11 14:08:08,1,1,3994
2026-09-11 14:08:29,0,0,3993
2026-09-11 14:08:49,0,0,3992
2026-09-11 14:09:10,0,0,3991
2026-09-11 14:09:30,1,1,3990
2026-09-11 14:09:51,0,0,3989
2026-09-11 14:10:11,0,0,3988
2026-09-11 14:10:32,0,0,3987
2026-09-11 14:10:53,0,0,3986
2026-09-11 14:11:13,1,1,3985
2026-09-11 14:11:34,1,1,3984
2026-09-11 14:11:54,1,1,3983
2026-09-11 14:12:15,0,0,3982
2026-09-11 17:37:06,0,0,3981
2026-09-11 17:37:26,0,0,3980
2026-09-11 17:37:47,1,1,3979
2026-09-11 17:38:07,0,0,3978
2026-09-11 17:38:28,0,0,3977
2026-09-11 17:38:48,0,0,3976
2026-09-11 17:39:09,0,0,3975
2026-09-11 17:39:29,1,1,3974
2026-09-11 17:39:50,1,1,3973
2026-09-11 17:40:10,0,0,3972
2026-09-11 17:40:31,0,0,3971
2026-09-11 17:40:51,0,0,3970
2026-09-11 17:41:12,0,0,3969
2026-09-11 17:41:32,1,1,3968
2026-09-11 17:41:53,0,0,3967
